BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,"Removal of riparian invasive alien plants is beneficial for this species. Currently it is known only from a site where alien invasive trees have been removed. Research into population numbers and range, and trends/monitoring of the species would be valuable.",Bush-fringed pools in river braids (Samways 2006 in press) with the water weed <em>Aponogeton</em>.,Missing,"Its current population size is not known, however it is possibly stable at present.",Stable,"The species is endemic to the Western Cape, South Africa. Until recently, this species was thought to be possibly extinct, having not been recorded since 1920. However, it was rediscovered in December 2003 in Dutoitsrivier, near Villiersdorp (Samways and Tarboton 2006) at one site which had been restored through the removal of alien invasive trees.",01/04/2007,3.1,,true,VU,D2,false,false,,"<em>Metacnemis angusta</em> is currently known from only one population, the species having been rediscovered in 2003 after previously being thought to be possibly extinct. Only one locality is known, which is not within a reserve area. Its known area of occupancy is less than 500 m², and there are conservation efforts underway to remove alien invasive trees in the area. Since the habitat in the area is not currently undergoing continuing decline, and it is also clear that an as yet undiscovered population must exist somewhere nearby to have been able to recolonise this locality, it is currently assessed as Vulnerable based on its restricted range. However, ongoing conservation efforts are required to prevent this species moving into a higher threatened category in the near future.",,New Information,,,Nongenuine Change,Terrestrial|Freshwater (=Inland waters),"The streams in the Ceres area (where it was recorded in 1920) have been radically transformed and indeed some no longer flow due to over-extraction of water for the fruit industry. Other threats come from shading of the habitat by alien invasive trees (<em>Acacia mearnsii</em>) and damming of streams. Alien fishes, especially the rainbow trout (<em>Onycorhynchus mykiss</em>), may also be a threat.",,13257
Afrotropical,"Searches must continue, especially for the larval habitat. Continued removal of alien trees must also continue. Trout should no longer be released and those present should be removed. Research into population numbers and range, biology and ecology, habitat status, threats, conservation measures, and trends/monitoring of this species would also be valuable.","High, montane streams and kloofs. However, specific habitat is not known - it may be a montane specialist, in which case it may not be particularly threatened; or it may be a lower elevation species, in which case it may be seriously threatened. More data are needed.",Missing,There is no information available at all on current population size or trends. It has not been seen since 1977.,Unknown,"Formerly, this species was recorded from various localities in the Western Cape, including Table Mountain. Clearly it was never an abundant species (Pinhey 1979, 1984b). A great deal of searching time was devoted to this species between 1993 and 2006 but it was never rediscovered, suggesting that it may be under severe threat.",01/04/2007,3.1,,true,DD,,false,false,,"This species appears always to have been rare and was last seen in 1977 (Pinhey 1979). Despite very intensive searches between 1993–2006, the species has not been rediscovered. Of great concern is that, despite removal of alien pines on top of Table Mountain and the return of other rare species, <em>O. rubens</em> has not recovered. Further searches are underway. Meanwhile, the species is currently assessed as Data Deficient.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"It is not clear why this species has not been rediscovered as its upland habitat is largely found in protected areas. However, it may breed at lower elevations where it is affected by threats as plantation forestry, alien invasive trees, alien trout and, in Du Toit’s Kloof, from fish farming.",,15543
Afrotropical,"Searches must continue, especially for the larval habitat. Continued removal of alien trees must also continue. Trout should no longer be released and those present should be removed. Research into population numbers and range, biology and ecology, habitat status, threats, conservation measures, and trends/monitoring of this species would also be valuable.","This species occurs in high montane streams and kloofs. However, specific habitat preferences are not known. It may be a montane specialist, in which case it may not be particularly threatened; or it may be a lower elevation species, in which case it may be seriously threatened. More data are needed.",Missing,There is no information available at all on current population size or trends. It has not been seen since 1977.,Unknown,"Formerly, this species was recorded from various localities in the Western Cape, including Table Mountain. Clearly it was never an abundant species (Pinhey 1979, 1984b). A great deal of searching time was devoted to this species between 1993 and 2011 but it was never rediscovered since 1977, suggesting that it may be under severe threat or even extinct.",18/08/2011,3.1,,true,CR,D,true,false,1977,"The Elusive Skimmer is endemic to the Western Cape of South Africa, with the holotype being described from Table Mountain, Cape Town. The species appears to have been rare, and was last recorded alive in 1977 (Pinhey 1979). Despite very intensive searches every year from 1987 to 2010 in all its former, known localities, it has not been rediscovered. Nor has it been rediscovered at other apparently suitable localities in the Western Cape. Its type locality has been explored 50 times in the last 20 years, and the locality where it was last seen, Du Toits Kloof, has also been revisited, on many occasions, without any success. It may of course exist in as yet unexplored localities, but if this is so, the species would still exceedingly rare, and now absent from its known former localities. The species is now assessed as Critically Endangered, with a high risk of being extinct.",,New Information,,,Nongenuine Change,Terrestrial|Freshwater (=Inland waters),"It is not clear why this species has not been rediscovered as its upland habitat is largely found in protected areas. However, it may breed at lower elevations where it is affected by threats as plantation forestry, alien invasive trees, alien trout and, in Du Toit’s Kloof, from fish farming.",,15543
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Savannah rivers with gallery forest; also large lakes.,Incomplete,Population size and trends are unknown.,Unknown,"In southern Africa, this species is widespread at perennial rivers in the region. It has not yet been found in the arid southwest or in the Orange System. Globally, it has been recorded from northern South Africa to Ethiopia, Sudan and West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region.",,,,,,Terrestrial|Freshwater (=Inland waters),No major threats are currently known.,,158578
Afrotropical|Australasian|Indomalayan|Oceanian,No specific conservation measures are known to be in place or are recommended at present.,This species grows best in January.,Missing,Current population size is unknown.  No breeding populations are known in the southern Africa region.,Unknown,"This species is an occasional migrant to South Africa. There is no evidence for breeding in the southern Africa region. Globally, it is widespread around the Indian Ocean and the Pacific area.",09/06/2006,3.1,,true,NA,,false,false,,"This is a migratory species that occurs in the southern Africa region only occasionally. It can be considered a vagrant, and on that basis it is considered Not Applicable for the regional list.",,,,,,Freshwater (=Inland waters),No information available.<br/><p>&#160;</p>  <p>&#160;</p>,,167478
Afrotropical,Unknown. Taxonomic research is needed.,Streams in forest (Tarboton and Tarboton 2002).,,Population size and trends within the region are unknown.,Unknown,"<em>Hemicordulia asiatica</em> is recorded mainly along the coast of the Indian  Ocean from South Africa to Kenya, also Uganda and Malawi. However, this may  include more than one species (see taxonomic notes). Within the southern Africa  region, it is recorded from a couple of records in South Africa only.",09/06/2006,3.1,Taxonomic,false,,,false,false,,Due to major taxonomic problems this cannot be assessed beyond Data Deficient at present.,,,,,,Terrestrial|Freshwater (=Inland waters),Unknown.,,168007
Afrotropical,"No specific measures are in place or are planned at present. In South Africa at least, it is important to carry out more searches for the species (Samways 2006).",Swamps or marshy pools.,Missing,Current population size and trends are unknown.,Unknown,"Within the southern Africa region, this species has been recorded in South Africa, Mozambique, Zambia and Zimbabwe.  In South Africa, it was formerly known from ""Klipfontein, Transavaal"" and Greater St. Lucia Wetlands Park, but it has not been rediscovered at St. Lucia despite intensive searches and currently there are no known populations in South Africa (Samways 2006 in press). Globally, it occurs from South Africa to Tanzania (and possibly Kenya) and DRC.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a relatively wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region.",,,,,,Terrestrial|Freshwater (=Inland waters),"Habitat destruction is inferred to be a threat in parts of the range. It appears that drought plays a major role, but his is exacerbated by further extraction of water for urban and agricultural purposes (Samways 2006).",,168013
Afrotropical,No information available but research into trends and monitoring of the species would be valuable.,"Well-vegetated streams, rivers and pools at low altitudes.",Missing,Locally abundant.,Stable,This South African endemic has been recorded from the Western Cape to south of Johannesburg. According to Tarboton and Tarboton 2005) all records of <em>P. inconspicuum</em> from South Africa belong to this species.,09/07/2006,3.1,,true,LC,,false,false,,This South African endemic species is assessed as Least Concern in view of its wide distribution and because it is a locally abundant species. It is unlikely to qualify for listing in a threatened category.,,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,168022
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Swampy and often seasonal habitats in savannah and bush.,Incomplete,No information is available on population size or trends.,Unknown,"This species is widespread in the southern Africa region. It does not occur at the Cape. Globally, it is widespread in tropical sub-Saharan Africa, except in rain forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region.",,,,,,Terrestrial|Freshwater (=Inland waters),No serious threats are known to be affecting the species at present.,,184261
Afrotropical,"No specific conservation measures are planned, although this species occurs in several protected areas, including Kosi Bay. Coastal ecosystem conservation in general will benefit this species (Samways 2006 in press). More research is needed to gather data on range, population status, habitat and threats. Further searches are urgently required, especially of its larval habitat which has not yet been confirmed (Samways 2006 in press).",Frequents grassland in close vicinity to sedge- and grass-pans. Larval habitat unknown.,Missing,Population size and trends are unknown.,Unknown,"This species has only been recorded from South Africa (coastal, northern Kwazulu Natal) and southern Mozambique. So far it is known from only one record from 2001 in Mozambique, but it is likely to be more widespread here due to the present availability of suitable habitat and the species' dispersal ability.",01/04/2007,3.1,,true,DD,,false,false,,"This species had not been seen for many years, but was re-discovered in December 2000 at Kosi Bay, South Africa. It is under general threat from human population growth and from indirect pressures from tourism. In South Africa it is nationally listed as Vulnerable. In Mozambique, it is known from only one, recent record. It is likely to be more widespread here because of the availability of suitable habitat, however more data are required to be able to confirm its status there. Currently there are insufficient data to be able to assess the species beyond Data Deficient.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),Overgrazing and increasing urbanization could become a threat.,,22816
